Data;Tipo;Cotações em Real1/;
;;Compra;Venda
01/07/2019;A;3.8187;3.8193
02/07/2019;A;3.8558;3.8564
03/07/2019;A;3.8469;3.8475
04/07/2019;A;3.7934;3.794
05/07/2019;A;3.8198;3.8204
08/07/2019;A;3.8059;3.8065
09/07/2019;A;3.7846;3.7858
10/07/2019;A;3.7691;3.7697
11/07/2019;A;3.7527;3.7533
12/07/2019;A;3.7446;3.7452
15/07/2019;A;3.7457;3.7463
16/07/2019;A;3.7618;3.7624
17/07/2019;A;3.7612;3.7618
18/07/2019;A;3.7483;3.7489
19/07/2019;A;3.7402;3.7408
22/07/2019;A;3.7394;3.74
23/07/2019;A;3.7615;3.7621
24/07/2019;A;3.759;3.7596
25/07/2019;A;3.7843;3.7849
26/07/2019;A;3.7735;3.7741
29/07/2019;A;3.7903;3.7909
30/07/2019;A;3.7894;3.79
31/07/2019;A;3.7643;3.7649
01/08/2019;A;3.829;3.8296
02/08/2019;A;3.8733;3.8739
05/08/2019;A;3.9398;3.9404
06/08/2019;A;3.9637;3.9643
07/08/2019;A;3.9844;3.985
08/08/2019;A;3.9403;3.9409
09/08/2019;A;3.9356;3.9362
12/08/2019;A;3.996;3.9966
13/08/2019;A;3.973;3.9736
14/08/2019;A;4.0068;4.0074
15/08/2019;A;4.0182;4.0188
16/08/2019;A;3.9927;3.9933
19/08/2019;A;4.0268;4.0274
20/08/2019;A;4.0419;4.0425
21/08/2019;A;4.0248;4.0254
22/08/2019;A;4.0438;4.0444
23/08/2019;A;4.0845;4.0851
26/08/2019;A;4.1361;4.1367
27/08/2019;A;4.1551;4.1557
28/08/2019;A;4.1553;4.1559
29/08/2019;A;4.1674;4.168
30/08/2019;A;4.1379;4.1385
02/09/2019;A;4.1575;4.1581
03/09/2019;A;4.1651;4.1657
04/09/2019;A;4.1243;4.1249
05/09/2019;A;4.0853;4.0859
06/09/2019;A;4.0644;4.065
09/09/2019;A;4.076;4.0766
10/09/2019;A;4.1102;4.1108
11/09/2019;A;4.0625;4.0631
12/09/2019;A;4.0488;4.0494
13/09/2019;A;4.061;4.0616
16/09/2019;A;4.0866;4.0872
17/09/2019;A;4.0992;4.0998
18/09/2019;A;4.0966;4.0972
19/09/2019;A;4.1387;4.1393
20/09/2019;A;4.1681;4.1687
23/09/2019;A;4.1728;4.1734
24/09/2019;A;4.1715;4.1721
25/09/2019;A;4.1821;4.1827
26/09/2019;A;4.1463;4.1469
27/09/2019;A;4.1581;4.1587
30/09/2019;A;4.1638;4.1644
01/10/2019;A;4.1734;4.174
02/10/2019;A;4.154;4.1546
03/10/2019;A;4.1006;4.1012
04/10/2019;A;4.0604;4.061
07/10/2019;A;4.0682;4.0688
08/10/2019;A;4.0862;4.0868
09/10/2019;A;4.0948;4.0954
10/10/2019;A;4.1139;4.1145
11/10/2019;A;4.1054;4.106
14/10/2019;A;4.1257;4.1263
15/10/2019;A;4.1482;4.1488
16/10/2019;A;4.1708;4.1714
17/10/2019;A;4.1452;4.1457
18/10/2019;A;4.137;4.1376
21/10/2019;A;4.1313;4.1319
22/10/2019;A;4.0852;4.0858
23/10/2019;A;4.0715;4.0721
24/10/2019;A;4.0083;4.0089
25/10/2019;A;4.0127;4.0133
28/10/2019;A;3.9786;3.9793
29/10/2019;A;3.994;3.9946
30/10/2019;A;4.018;4.0186
31/10/2019;A;4.0035;4.0041
01/11/2019;A;3.978;3.9786
04/11/2019;A;3.9916;3.9922
05/11/2019;A;4.0037;4.0043
06/11/2019;A;4.0345;4.0351
07/11/2019;A;4.0921;4.0927
08/11/2019;A;4.1359;4.1365
11/11/2019;A;4.1553;4.1559
12/11/2019;A;4.175;4.1756
13/11/2019;A;4.1761;4.1767
14/11/2019;A;4.1825;4.1831
18/11/2019;A;4.1821;4.1827
19/11/2019;A;4.2078;4.2084
20/11/2019;A;4.2027;4.2037
21/11/2019;A;4.2006;4.2012
22/11/2019;A;4.1826;4.1832
25/11/2019;A;4.2083;4.2089
26/11/2019;A;4.2553;4.2559
27/11/2019;A;4.2596;4.2602
28/11/2019;A;4.2474;4.248
29/11/2019;A;4.2234;4.224
02/12/2019;A;4.2255;4.2261
03/12/2019;A;4.2002;4.2008
04/12/2019;A;4.192;4.1926
05/12/2019;A;4.213;4.2136
06/12/2019;A;4.1777;4.1783
09/12/2019;A;4.1497;4.1503
10/12/2019;A;4.1421;4.1427
11/12/2019;A;4.1147;4.1153
12/12/2019;A;4.1086;4.1092
13/12/2019;A;4.0943;4.0949
16/12/2019;A;4.0795;4.0801
17/12/2019;A;4.0681;4.0687
18/12/2019;A;4.0542;4.0548
19/12/2019;A;4.0627;4.0633
20/12/2019;A;4.0771;4.0777
23/12/2019;A;4.0751;4.0757
24/12/2019;A;4.0793;4.0813
26/12/2019;A;4.0595;4.0601
27/12/2019;A;4.0539;4.0545
30/12/2019;A;4.0301;4.0307
31/12/2019;A;4.0301;4.0307
