Data;Tipo;Cotações em Real1/;
;;Compra;Venda
02/01/2019;A;3.8589;3.8595
03/01/2019;A;3.7677;3.7683
04/01/2019;A;3.7621;3.7627
07/01/2019;A;3.7056;3.7062
08/01/2019;A;3.7202;3.7208
09/01/2019;A;3.6925;3.6931
10/01/2019;A;3.6863;3.6869
11/01/2019;A;3.7135;3.7141
14/01/2019;A;3.7255;3.726
15/01/2019;A;3.7043;3.7049
16/01/2019;A;3.7191;3.7197
17/01/2019;A;3.7585;3.7591
18/01/2019;A;3.748;3.7486
21/01/2019;A;3.7699;3.7705
22/01/2019;A;3.7609;3.7615
23/01/2019;A;3.7988;3.7994
24/01/2019;A;3.7809;3.7815
25/01/2019;A;3.7613;3.7626
28/01/2019;A;3.767;3.7676
29/01/2019;A;3.7364;3.737
30/01/2019;A;3.7145;3.7151
31/01/2019;A;3.6513;3.6519
01/02/2019;A;3.6688;3.6694
04/02/2019;A;3.675;3.6756
05/02/2019;A;3.6735;3.6741
06/02/2019;A;3.7013;3.7019
07/02/2019;A;3.7187;3.7193
08/02/2019;A;3.7178;3.7184
11/02/2019;A;3.7385;3.7391
12/02/2019;A;3.729;3.7296
13/02/2019;A;3.7271;3.7277
14/02/2019;A;3.775;3.7756
15/02/2019;A;3.7149;3.7155
18/02/2019;A;3.731;3.7316
19/02/2019;A;3.72;3.7206
20/02/2019;A;3.7094;3.71
21/02/2019;A;3.7589;3.7595
22/02/2019;A;3.7424;3.743
25/02/2019;A;3.7279;3.7285
26/02/2019;A;3.7589;3.7595
27/02/2019;A;3.7345;3.7351
28/02/2019;A;3.7379;3.7385
01/03/2019;A;3.7826;3.7832
06/03/2019;A;3.8297;3.8303
07/03/2019;A;3.8481;3.8487
08/03/2019;A;3.8672;3.8678
11/03/2019;A;3.8455;3.8461
12/03/2019;A;3.8123;3.8129
13/03/2019;A;3.8259;3.8265
14/03/2019;A;3.8321;3.8327
15/03/2019;A;3.8338;3.8344
18/03/2019;A;3.8105;3.8111
19/03/2019;A;3.7756;3.7762
20/03/2019;A;3.7891;3.7897
21/03/2019;A;3.7961;3.7967
22/03/2019;A;3.8809;3.8815
25/03/2019;A;3.8764;3.877
26/03/2019;A;3.864;3.8646
27/03/2019;A;3.9383;3.9389
28/03/2019;A;3.9676;3.9682
29/03/2019;A;3.8961;3.8967
01/04/2019;A;3.8676;3.8682
02/04/2019;A;3.8655;3.8661
03/04/2019;A;3.843;3.8436
04/04/2019;A;3.8707;3.8713
05/04/2019;A;3.8616;3.8622
08/04/2019;A;3.8652;3.8658
09/04/2019;A;3.8557;3.8563
10/04/2019;A;3.8339;3.8345
11/04/2019;A;3.8393;3.8399
12/04/2019;A;3.8679;3.8685
15/04/2019;A;3.8724;3.873
16/04/2019;A;3.8907;3.8913
17/04/2019;A;3.9219;3.9225
18/04/2019;A;3.9364;3.937
22/04/2019;A;3.9224;3.923
23/04/2019;A;3.943;3.9436
24/04/2019;A;3.9624;3.963
25/04/2019;A;3.9719;3.9725
26/04/2019;A;3.9347;3.9353
29/04/2019;A;3.9358;3.9364
30/04/2019;A;3.9447;3.9453
02/05/2019;A;3.9644;3.965
03/05/2019;A;3.9382;3.9388
06/05/2019;A;3.9618;3.9624
07/05/2019;A;3.9874;3.988
08/05/2019;A;3.9338;3.9344
09/05/2019;A;3.9667;3.9673
10/05/2019;A;3.9572;3.9578
13/05/2019;A;3.9884;3.989
14/05/2019;A;3.9782;3.9788
15/05/2019;A;4.0025;4.0031
16/05/2019;A;4.0132;4.0138
17/05/2019;A;4.0838;4.0844
20/05/2019;A;4.105;4.1056
21/05/2019;A;4.0804;4.081
22/05/2019;A;4.0222;4.0228
23/05/2019;A;4.0507;4.0513
24/05/2019;A;4.0316;4.0322
27/05/2019;A;4.0204;4.021
28/05/2019;A;4.0269;4.0275
29/05/2019;A;3.9959;3.9965
30/05/2019;A;3.9714;3.972
31/05/2019;A;3.9401;3.9407
03/06/2019;A;3.8997;3.9003
04/06/2019;A;3.8704;3.871
05/06/2019;A;3.8605;3.8611
06/06/2019;A;3.872;3.8726
07/06/2019;A;3.8565;3.8571
10/06/2019;A;3.8784;3.879
11/06/2019;A;3.8658;3.8664
12/06/2019;A;3.8431;3.8437
13/06/2019;A;3.8423;3.8429
14/06/2019;A;3.8807;3.8813
17/06/2019;A;3.8889;3.8895
18/06/2019;A;3.8602;3.8608
19/06/2019;A;3.8717;3.8723
21/06/2019;A;3.8249;3.8255
24/06/2019;A;3.8228;3.8234
25/06/2019;A;3.8297;3.8303
26/06/2019;A;3.8435;3.8441
27/06/2019;A;3.8636;3.8642
28/06/2019;A;3.8316;3.8322
