Data;Tipo;Cotações em Real1/;
;;Compra;Venda
01/07/2020;A;5.3646;5.3651
02/07/2020;A;5.3022;5.3028
03/07/2020;A;5.3368;5.3374
06/07/2020;A;5.3079;5.3085
07/07/2020;A;5.3312;5.3318
08/07/2020;A;5.3476;5.3482
09/07/2020;A;5.2972;5.2978
10/07/2020;A;5.3434;5.344
13/07/2020;A;5.348;5.3486
14/07/2020;A;5.4282;5.4288
15/07/2020;A;5.3485;5.3491
16/07/2020;A;5.3554;5.356
17/07/2020;A;5.3504;5.351
20/07/2020;A;5.3629;5.3635
21/07/2020;A;5.2277;5.2283
22/07/2020;A;5.1105;5.1111
23/07/2020;A;5.1641;5.1647
24/07/2020;A;5.214;5.2146
27/07/2020;A;5.1883;5.1889
28/07/2020;A;5.1771;5.1777
29/07/2020;A;5.1389;5.1395
30/07/2020;A;5.1831;5.1837
31/07/2020;A;5.2027;5.2033
03/08/2020;A;5.3069;5.3075
04/08/2020;A;5.3323;5.3329
05/08/2020;A;5.2754;5.276
06/08/2020;A;5.3425;5.3431
07/08/2020;A;5.4221;5.4227
10/08/2020;A;5.3927;5.3933
11/08/2020;A;5.4279;5.4285
12/08/2020;A;5.4545;5.4551
13/08/2020;A;5.3795;5.3801
14/08/2020;A;5.3846;5.3852
17/08/2020;A;5.4491;5.4497
18/08/2020;A;5.4653;5.4659
19/08/2020;A;5.49;5.4906
20/08/2020;A;5.6504;5.651
21/08/2020;A;5.6058;5.6064
24/08/2020;A;5.5948;5.5954
25/08/2020;A;5.5991;5.5997
26/08/2020;A;5.5674;5.568
27/08/2020;A;5.595;5.5956
28/08/2020;A;5.4673;5.4679
31/08/2020;A;5.4707;5.4713
01/09/2020;A;5.3726;5.3732
02/09/2020;A;5.3735;5.3741
03/09/2020;A;5.3073;5.3079
04/09/2020;A;5.2842;5.2848
08/09/2020;A;5.3692;5.3698
09/09/2020;A;5.3018;5.3024
10/09/2020;A;5.293;5.2936
11/09/2020;A;5.2848;5.2854
14/09/2020;A;5.2978;5.2984
15/09/2020;A;5.2722;5.2728
16/09/2020;A;5.2526;5.2532
17/09/2020;A;5.2587;5.2593
18/09/2020;A;5.2883;5.2889
21/09/2020;A;5.4434;5.444
22/09/2020;A;5.4323;5.4329
23/09/2020;A;5.5305;5.5311
24/09/2020;A;5.5708;5.5714
25/09/2020;A;5.5661;5.5667
28/09/2020;A;5.5852;5.5858
29/09/2020;A;5.6521;5.6528
30/09/2020;A;5.6401;5.6407
01/10/2020;A;5.6435;5.6441
02/10/2020;A;5.6458;5.6464
05/10/2020;A;5.6293;5.6299
06/10/2020;A;5.5199;5.5205
07/10/2020;A;5.6012;5.6018
08/10/2020;A;5.6194;5.62
09/10/2020;A;5.5387;5.5393
13/10/2020;A;5.5854;5.5859
14/10/2020;A;5.5669;5.5675
15/10/2020;A;5.6166;5.6172
16/10/2020;A;5.622;5.6226
19/10/2020;A;5.6017;5.6023
20/10/2020;A;5.5824;5.583
21/10/2020;A;5.6;5.6006
22/10/2020;A;5.5814;5.582
23/10/2020;A;5.6114;5.612
26/10/2020;A;5.6322;5.6328
27/10/2020;A;5.6484;5.6491
28/10/2020;A;5.7319;5.7325
29/10/2020;A;5.7797;5.7803
30/10/2020;A;5.7712;5.7718
03/11/2020;A;5.6889;5.6895
04/11/2020;A;5.6926;5.6932
05/11/2020;A;5.5618;5.5624
06/11/2020;A;5.5307;5.5313
09/11/2020;A;5.2815;5.2821
10/11/2020;A;5.369;5.3696
11/11/2020;A;5.4014;5.402
12/11/2020;A;5.4088;5.4094
13/11/2020;A;5.4848;5.4854
16/11/2020;A;5.4192;5.4198
17/11/2020;A;5.3962;5.3968
18/11/2020;A;5.2926;5.2932
19/11/2020;A;5.3324;5.333
20/11/2020;A;5.3499;5.3505
23/11/2020;A;5.3822;5.3828
24/11/2020;A;5.4031;5.4037
25/11/2020;A;5.3502;5.3508
26/11/2020;A;5.3195;5.3201
27/11/2020;A;5.3488;5.3494
30/11/2020;A;5.3311;5.3317
01/12/2020;A;5.2783;5.2789
02/12/2020;A;5.2261;5.2267
03/12/2020;A;5.1619;5.1625
04/12/2020;A;5.17;5.1706
07/12/2020;A;5.1012;5.1018
08/12/2020;A;5.0914;5.092
09/12/2020;A;5.1103;5.1109
10/12/2020;A;5.0846;5.0852
11/12/2020;A;5.0685;5.0691
14/12/2020;A;5.0572;5.0578
15/12/2020;A;5.0962;5.0968
16/12/2020;A;5.1051;5.1057
17/12/2020;A;5.0606;5.0612
18/12/2020;A;5.098;5.0986
21/12/2020;A;5.1566;5.1572
22/12/2020;A;5.1467;5.1473
23/12/2020;A;5.1734;5.174
24/12/2020;A;5.1785;5.18
28/12/2020;A;5.2384;5.239
29/12/2020;A;5.1936;5.1942
30/12/2020;A;5.1961;5.1967
31/12/2020;A;5.1961;5.1967
