Data;Tipo;Cotações em Real1/;
;;Compra;Venda
01/07/2021;A;5.0049;5.0055
02/07/2021;A;5.0287;5.0293
05/07/2021;A;5.0743;5.0749
06/07/2021;A;5.1639;5.1645
07/07/2021;A;5.2322;5.2328
08/07/2021;A;5.2581;5.2587
09/07/2021;A;5.237;5.2393
12/07/2021;A;5.2233;5.2239
13/07/2021;A;5.1764;5.177
14/07/2021;A;5.0874;5.088
15/07/2021;A;5.0994;5.1
16/07/2021;A;5.0935;5.0941
19/07/2021;A;5.1972;5.1978
20/07/2021;A;5.2459;5.2465
21/07/2021;A;5.251;5.2516
22/07/2021;A;5.1972;5.1978
23/07/2021;A;5.1695;5.1701
26/07/2021;A;5.1857;5.1863
27/07/2021;A;5.1663;5.1669
28/07/2021;A;5.1521;5.1527
29/07/2021;A;5.0676;5.0682
30/07/2021;A;5.121;5.1216
02/08/2021;A;5.1373;5.1379
03/08/2021;A;5.2458;5.2464
04/08/2021;A;5.2085;5.2091
05/08/2021;A;5.1459;5.1464
06/08/2021;A;5.2404;5.241
09/08/2021;A;5.2768;5.2774
10/08/2021;A;5.2211;5.2217
11/08/2021;A;5.2007;5.2013
12/08/2021;A;5.2345;5.2351
13/08/2021;A;5.2468;5.2474
16/08/2021;A;5.2489;5.2495
17/08/2021;A;5.2579;5.2585
18/08/2021;A;5.3019;5.3025
19/08/2021;A;5.4174;5.418
20/08/2021;A;5.4268;5.4274
23/08/2021;A;5.368;5.3686
24/08/2021;A;5.3011;5.3017
25/08/2021;A;5.2459;5.2465
26/08/2021;A;5.2423;5.2429
27/08/2021;A;5.2194;5.22
30/08/2021;A;5.1946;5.1952
31/08/2021;A;5.1427;5.1433
01/09/2021;A;5.157;5.1576
02/09/2021;A;5.1729;5.1735
03/09/2021;A;5.1679;5.1685
06/09/2021;A;5.1767;5.1773
08/09/2021;A;5.2518;5.2524
09/09/2021;A;5.2819;5.2825
10/09/2021;A;5.2152;5.2158
13/09/2021;A;5.2184;5.219
14/09/2021;A;5.2254;5.226
15/09/2021;A;5.257;5.2576
16/09/2021;A;5.2588;5.2594
17/09/2021;A;5.3097;5.3103
20/09/2021;A;5.3326;5.3332
21/09/2021;A;5.3038;5.3044
22/09/2021;A;5.2777;5.2783
23/09/2021;A;5.2885;5.2891
24/09/2021;A;5.3429;5.3435
27/09/2021;A;5.3472;5.3478
28/09/2021;A;5.42;5.4206
29/09/2021;A;5.4167;5.4173
30/09/2021;A;5.4388;5.4394
01/10/2021;A;5.3905;5.3911
04/10/2021;A;5.4198;5.4204
05/10/2021;A;5.4605;5.4611
06/10/2021;A;5.5091;5.5097
07/10/2021;A;5.5134;5.514
08/10/2021;A;5.5078;5.5084
11/10/2021;A;5.5155;5.5161
13/10/2021;A;5.5464;5.5471
14/10/2021;A;5.4982;5.4988
15/10/2021;A;5.4504;5.451
18/10/2021;A;5.5187;5.5193
19/10/2021;A;5.5515;5.5521
20/10/2021;A;5.5565;5.5571
21/10/2021;A;5.6417;5.6423
22/10/2021;A;5.7111;5.7117
25/10/2021;A;5.5967;5.5973
26/10/2021;A;5.5794;5.58
27/10/2021;A;5.5661;5.5667
28/10/2021;A;5.6118;5.6124
29/10/2021;A;5.6424;5.643
01/11/2021;A;5.6688;5.6694
03/11/2021;A;5.6666;5.6672
04/11/2021;A;5.5936;5.5942
05/11/2021;A;5.5449;5.5455
08/11/2021;A;5.5621;5.5627
09/11/2021;A;5.4951;5.4957
10/11/2021;A;5.4584;5.459
11/11/2021;A;5.4165;5.4171
12/11/2021;A;5.4193;5.4199
16/11/2021;A;5.4766;5.4772
17/11/2021;A;5.4987;5.4993
18/11/2021;A;5.5464;5.547
19/11/2021;A;5.5578;5.5584
22/11/2021;A;5.5835;5.5841
23/11/2021;A;5.645;5.6456
24/11/2021;A;5.6021;5.6027
25/11/2021;A;5.5734;5.574
26/11/2021;A;5.5859;5.5865
29/11/2021;A;5.6112;5.6118
30/11/2021;A;5.6193;5.6199
01/12/2021;A;5.6162;5.6168
02/12/2021;A;5.6339;5.6345
03/12/2021;A;5.6426;5.6432
06/12/2021;A;5.6871;5.6877
07/12/2021;A;5.6405;5.6411
08/12/2021;A;5.5773;5.5779
09/12/2021;A;5.5558;5.5564
10/12/2021;A;5.5925;5.5931
13/12/2021;A;5.6351;5.6357
14/12/2021;A;5.6455;5.6461
15/12/2021;A;5.7121;5.7127
16/12/2021;A;5.6957;5.6963
17/12/2021;A;5.6953;5.6959
20/12/2021;A;5.7049;5.7055
21/12/2021;A;5.7367;5.7372
22/12/2021;A;5.7195;5.7201
23/12/2021;A;5.6904;5.691
24/12/2021;A;5.6541;5.6591
27/12/2021;A;5.6644;5.665
28/12/2021;A;5.6432;5.6438
29/12/2021;A;5.6613;5.6619
30/12/2021;A;5.5799;5.5805
