Data;Tipo;Cotações em Real1/;
;;Compra;Venda
04/01/2021;A;5.162;5.1626
05/01/2021;A;5.3263;5.3269
06/01/2021;A;5.3176;5.3182
07/01/2021;A;5.3427;5.3433
08/01/2021;A;5.3677;5.3683
11/01/2021;A;5.496;5.4966
12/01/2021;A;5.4631;5.4637
13/01/2021;A;5.3064;5.307
14/01/2021;A;5.2611;5.2617
15/01/2021;A;5.2708;5.2714
18/01/2021;A;5.2782;5.2788
19/01/2021;A;5.2939;5.2945
20/01/2021;A;5.3027;5.3033
21/01/2021;A;5.316;5.3166
22/01/2021;A;5.4295;5.4301
25/01/2021;A;5.5074;5.5089
26/01/2021;A;5.3859;5.3865
27/01/2021;A;5.3818;5.3824
28/01/2021;A;5.4276;5.4282
29/01/2021;A;5.4753;5.4759
01/02/2021;A;5.4602;5.4608
02/02/2021;A;5.3869;5.3875
03/02/2021;A;5.3417;5.3423
04/02/2021;A;5.3904;5.391
05/02/2021;A;5.3878;5.3884
08/02/2021;A;5.3664;5.367
09/02/2021;A;5.421;5.4216
10/02/2021;A;5.4018;5.4024
11/02/2021;A;5.362;5.3626
12/02/2021;A;5.3809;5.3815
17/02/2021;A;5.4132;5.4138
18/02/2021;A;5.4232;5.4238
19/02/2021;A;5.3918;5.3924
22/02/2021;A;5.5038;5.5044
23/02/2021;A;5.4484;5.449
24/02/2021;A;5.4176;5.4182
25/02/2021;A;5.4594;5.46
26/02/2021;A;5.5296;5.5302
01/03/2021;A;5.5826;5.5832
02/03/2021;A;5.6838;5.6844
03/03/2021;A;5.7336;5.7342
04/03/2021;A;5.6002;5.6008
05/03/2021;A;5.6864;5.687
08/03/2021;A;5.7337;5.7343
09/03/2021;A;5.8391;5.8397
10/03/2021;A;5.7443;5.7449
11/03/2021;A;5.5884;5.589
12/03/2021;A;5.5634;5.564
15/03/2021;A;5.629;5.6296
16/03/2021;A;5.5845;5.5851
17/03/2021;A;5.6573;5.6579
18/03/2021;A;5.5468;5.5474
19/03/2021;A;5.5076;5.5082
22/03/2021;A;5.5263;5.5269
23/03/2021;A;5.4945;5.4951
24/03/2021;A;5.5324;5.533
25/03/2021;A;5.6579;5.6585
26/03/2021;A;5.7036;5.7042
29/03/2021;A;5.7919;5.7925
30/03/2021;A;5.7636;5.7642
31/03/2021;A;5.6967;5.6973
01/04/2021;A;5.6843;5.6849
05/04/2021;A;5.6573;5.6579
06/04/2021;A;5.6257;5.6263
07/04/2021;A;5.5858;5.5864
08/04/2021;A;5.5811;5.5817
09/04/2021;A;5.6439;5.6445
12/04/2021;A;5.6576;5.6582
13/04/2021;A;5.7058;5.7064
14/04/2021;A;5.693;5.6936
15/04/2021;A;5.6228;5.6234
16/04/2021;A;5.6322;5.6328
19/04/2021;A;5.5744;5.575
20/04/2021;A;5.526;5.5266
22/04/2021;A;5.4964;5.497
23/04/2021;A;5.4781;5.4787
26/04/2021;A;5.456;5.4566
27/04/2021;A;5.4418;5.4424
28/04/2021;A;5.3999;5.4005
29/04/2021;A;5.3656;5.3662
30/04/2021;A;5.403;5.4036
03/05/2021;A;5.4081;5.4087
04/05/2021;A;5.4499;5.4505
05/05/2021;A;5.3866;5.3872
06/05/2021;A;5.2891;5.2897
07/05/2021;A;5.2211;5.2217
10/05/2021;A;5.2221;5.2227
11/05/2021;A;5.2397;5.2403
12/05/2021;A;5.2347;5.2353
13/05/2021;A;5.2809;5.2815
14/05/2021;A;5.2695;5.2701
17/05/2021;A;5.2749;5.2755
18/05/2021;A;5.2582;5.2588
19/05/2021;A;5.2816;5.2822
20/05/2021;A;5.2899;5.2905
21/05/2021;A;5.3021;5.3027
24/05/2021;A;5.3192;5.3198
25/05/2021;A;5.3137;5.3143
26/05/2021;A;5.3158;5.3164
27/05/2021;A;5.2833;5.284
28/05/2021;A;5.2274;5.2281
31/05/2021;A;5.2316;5.2322
01/06/2021;A;5.163;5.1636
02/06/2021;A;5.114;5.1147
04/06/2021;A;5.0661;5.0666
07/06/2021;A;5.0492;5.0498
08/06/2021;A;5.0483;5.0489
09/06/2021;A;5.0527;5.0533
10/06/2021;A;5.0629;5.0635
11/06/2021;A;5.1184;5.119
14/06/2021;A;5.0701;5.0707
15/06/2021;A;5.0868;5.0874
16/06/2021;A;5.0201;5.0207
17/06/2021;A;5.0353;5.0359
18/06/2021;A;5.0308;5.0314
21/06/2021;A;5.0367;5.0373
22/06/2021;A;5.0172;5.0178
23/06/2021;A;4.9513;4.9519
24/06/2021;A;4.9271;4.9277
25/06/2021;A;4.92;4.9206
28/06/2021;A;4.9414;4.942
29/06/2021;A;4.9444;4.945
30/06/2021;A;5.0016;5.0022
